Unnamed: 0,Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
86,186,3:30.44,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1238,2014,men_1500m
87,188,3:30.46,Alex KIPCHIRCHIR,26 NOV 1984,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1238,2004,men_1500m
88,188,3:30.46,Asbel KIPROP,30 JUN 1989,KEN,1,"Stadio Guidobaldi, Rieti (ITA)",10 SEP 2011,1238,2011,men_1500m
89,190,3:30.47,Vénuste NIYONGABO,09 DEC 1973,BDI,2,"Stade Louis II, Monaco (MON)",16 AUG 1997,1238,1997,men_1500m
90,190,3:30.47,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Stade Louis II, Monaco (MON)",22 JUL 2011,1238,2011,men_1500m
91,190,3:30.47,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Stade Louis II, Monaco (MON)",12 JUL 2019,1238,2019,men_1500m
92,193,3:30.48,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1238,2021,men_1500m
93,194,3:30.49,Daniel KOMEN,17 MAY 1976,KEN,4f1,Zürich (SUI),12 AUG 1998,1238,1998,men_1500m
94,194,3:30.49,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,Zürich (SUI),19 AUG 2005,1238,2005,men_1500m
95,194,3:30.49,Ronald KWEMOI,19 SEP 1995,KEN,1,"Stade Louis II, Monaco (MON)",15 JUL 2016,1238,2016,men_1500m
96,197,3:30.50,Taoufik MAKHLOUFI,29 APR 1988,ALG,4,Paris (FRA),04 JUL 2015,1238,2015,men_1500m
97,198,3:30.51,Stewart MCSWEYN,01 JUN 1995,AUS,1f1,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1237,2020,men_1500m
98,199,3:30.53,Jake WIGHTMAN,11 JUL 1994,GBR,3,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1237,2022,men_1500m
99,200,3:30.54,Bernard LAGAT,12 DEC 1974,KEN,2,"Stade Charléty, Paris (FRA)",14 SEP 2002,1237,2002,men_1500m
0,200,3:30.54,Alan WEBB,13 JAN 1983,USA,1,Paris (FRA),06 JUL 2007,1237,2007,men_1500m
1,202,3:30.55,Abdi BILE,28 DEC 1962,SOM,1,Rieti (ITA),03 SEP 1989,1237,1989,men_1500m
2,202,3:30.55,Bernard LAGAT,12 DEC 1974,KEN,2,Zürich (SUI),15 AUG 2003,1237,2003,men_1500m
3,204,3:30.56,Bernard LAGAT,12 DEC 1974,KEN,3f1,Zürich (SUI),11 AUG 1999,1237,1999,men_1500m
4,205,3:30.57,Reyes ESTÉVEZ,02 AUG 1976,ESP,3,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1237,1999,men_1500m
5,206,3:30.58,William TANUI,22 FEB 1964,KEN,3,"Stade Louis II, Monaco (MON)",16 AUG 1997,1236,1997,men_1500m
6,206,3:30.58,Ronald MUSAGALA,16 DEC 1992,UGA,3,"Stade Louis II, Monaco (MON)",12 JUL 2019,1236,2019,men_1500m
7,206,3:30.58,Ronald MUSAGALA,16 DEC 1992,UGA,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,1236,2019,men_1500m
8,209,3:30.59,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",05 JUN 1997,1236,1997,men_1500m
9,209,3:30.59,Oliver HOARE,29 JAN 1997,AUS,3,"Letzigrund, Zürich (SUI)",08 SEP 2022,1236,2022,men_1500m
10,211,3:30.60,Cornelius CHIRCHIR,05 JUN 1983,KEN,3,Paris (FRA),23 JUL 2004,1236,2004,men_1500m
11,211,3:30.60,Josh KERR,08 OCT 1997,GBR,5,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1236,2022,men_1500m
12,213,3:30.61,Noureddine MORCELI,28 FEB 1970,ALG,1,Villeneuve d'Ascq (FRA),08 JUL 1994,1236,1994,men_1500m
13,213,3:30.61,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Nice (FRA),10 JUL 1996,1236,1996,men_1500m
14,213,3:30.61,Bernard LAGAT,12 DEC 1974,KEN,2,"Stade Louis II, Monaco (MON)",04 AUG 1999,1236,1999,men_1500m
15,213,3:30.61,Bernard LAGAT,12 DEC 1974,KEN,2f1,"Letzigrund, Zürich (SUI)",17 AUG 2001,1236,2001,men_1500m
16,213,3:30.61,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Olympiastadion, Berlin (GER)",22 AUG 2010,1236,2010,men_1500m
17,213,3:30.61,James Kiplagat MAGUT,20 JUL 1990,KEN,5,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1236,2014,men_1500m
18,219,3:30.62,Charlie DA'VALL GRICE,07 NOV 1993,GBR,4,"Stade Louis II, Monaco (MON)",12 JUL 2019,1236,2019,men_1500m
19,220,3:30.63,Saïd AOUITA,02 NOV 1959,MAR,1,Hengelo (NED),13 AUG 1989,1236,1989,men_1500m
20,221,3:30.64,Vénuste NIYONGABO,09 DEC 1973,BDI,1,St. Petersburg (RUS),29 JUN 1996,1236,1996,men_1500m
21,221,3:30.64,Bernard LAGAT,12 DEC 1974,USA,2,Paris (FRA),01 JUL 2005,1236,2005,men_1500m
22,223,3:30.66,Vénuste NIYONGABO,09 DEC 1973,BDI,2,Villeneuve d'Ascq (FRA),08 JUL 1994,1235,1994,men_1500m
23,223,3:30.66,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,"Stade Charléty, Paris (FRA)",24 AUG 2019,1235,2019,men_1500m
24,225,3:30.67,Benjamin KIPKURUI,28 DEC 1980,KEN,2,"Stade Louis II, Monaco (MON)",20 JUL 2001,1235,2001,men_1500m
25,226,3:30.68,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1235,2001,men_1500m
26,227,3:30.69,Saïd AOUITA,02 NOV 1959,MAR,1,Oslo (NOR),04 JUL 1987,1235,1987,men_1500m
27,227,3:30.69,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020,1235,2020,men_1500m
28,227,3:30.69,Timothy CHERUIYOT,20 NOV 1995,KEN,6,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1235,2022,men_1500m
29,230,3:30.71,Samuel TEFERA,23 OCT 1999,ETH,7,"Stade Louis II, Monaco (MON)",09 JUL 2021,1235,2021,men_1500m
30,231,3:30.72,Noureddine MORCELI,28 FEB 1970,ALG,1,"Crystal Palace, London (GBR)",15 JUL 1994,1234,1994,men_1500m
31,231,3:30.72,Paul KORIR,15 JUL 1977,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1234,2003,men_1500m
32,233,3:30.73,Benjamin KIPKURUI,28 DEC 1980,KEN,2,Rieti (ITA),03 SEP 2000,1234,2000,men_1500m
33,233,3:30.73,Bernard LAGAT,12 DEC 1974,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1234,2004,men_1500m
34,235,3:30.74,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Olympiastadion, Stockholm (SWE)",23 AUG 2020,1234,2020,men_1500m
35,236,3:30.75,Noureddine MORCELI,28 FEB 1970,ALG,1,Zürich (SUI),19 AUG 1992,1234,1992,men_1500m
36,236,3:30.75,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Paris (FRA),23 JUN 2000,1234,2000,men_1500m
37,238,3:30.76,John Kemboi KIBOWEN,21 APR 1969,KEN,1,Stuttgart (GER),19 JUL 1998,1234,1998,men_1500m
38,239,3:30.77,Steve OVETT,09 OCT 1955,GBR,1,Rieti (ITA),04 SEP 1983,1234,1983,men_1500m
39,239,3:30.77,Laban ROTICH,20 JAN 1969,KEN,3,Bruxelles (BEL),22 AUG 1997,1234,1997,men_1500m
40,239,3:30.77,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,Doha (QAT),13 MAY 2005,1234,2005,men_1500m
41,239,3:30.77,Bethwell BIRGEN,06 AUG 1988,KEN,4,"Stade Louis II, Monaco (MON)",19 JUL 2013,1234,2013,men_1500m
42,239,3:30.77,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Olympiastadion, Stockholm (SWE)",18 JUN 2017,1234,2017,men_1500m
43,239,3:30.77,Adel MECHAAL,05 DEC 1990,ESP,5,"National Stadium, Tokyo (JPN)",07 AUG 2021,1234,2021,men_1500m
44,245,3:30.78,Vénuste NIYONGABO,09 DEC 1973,BDI,1,Oslo (NOR),21 JUL 1995,1234,1995,men_1500m
45,245,3:30.78,Bernard LAGAT,12 DEC 1974,KEN,2,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1234,2000,men_1500m
46,245,3:30.78,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,Athina (GRE),11 JUN 2001,1234,2001,men_1500m
47,248,3:30.79,Ayanleh SOULEIMAN,03 DEC 1992,DJI,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1233,2019,men_1500m
48,249,3:30.80,Mehdi BAALA,17 AUG 1978,FRA,3,Paris (FRA),01 JUL 2005,1233,2005,men_1500m
49,249,3:30.80,Taoufik MAKHLOUFI,29 APR 1988,ALG,4,"Stade Louis II, Monaco (MON)",20 JUL 2012,1233,2012,men_1500m
50,251,3:30.81,Bernard LAGAT,12 DEC 1974,KEN,2,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1233,2004,men_1500m
51,252,3:30.82,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,Gateshead (GBR),28 AUG 2000,1233,2000,men_1500m
52,252,3:30.82,Alex KIPCHIRCHIR,26 NOV 1984,KEN,4,Paris (FRA),01 JUL 2005,1233,2005,men_1500m
53,252,3:30.82,Filip INGEBRIGTSEN,20 APR 1993,NOR,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1233,2019,men_1500m
54,252,3:30.82,Abel KIPSANG,22 NOV 1996,KEN,4,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1233,2022,men_1500m
55,256,3:30.83,Bernard LAGAT,12 DEC 1974,KEN,2,St-Denis (FRA),06 JUL 2001,1233,2001,men_1500m
56,256,3:30.83,Fouad CHOUKI,01 OCT 1978,FRA,3,Zürich (SUI),15 AUG 2003,1233,2003,men_1500m
57,258,3:30.86,Aman WOTE,18 APR 1984,ETH,6,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1233,2014,men_1500m
58,259,3:30.87,Reyes ESTÉVEZ,02 AUG 1976,ESP,5f1,Zürich (SUI),12 AUG 1998,1232,1998,men_1500m
59,260,3:30.88,Rui SILVA,03 AUG 1977,POR,4f1,Zürich (SUI),11 AUG 1999,1232,1999,men_1500m
60,260,3:30.88,William CHIRCHIR,06 FEB 1979,KEN,5,"Stade Louis II, Monaco (MON)",19 JUL 2002,1232,2002,men_1500m
61,260,3:30.88,Cornelius CHIRCHIR,05 JUN 1983,KEN,2,Zürich (SUI),16 AUG 2002,1232,2002,men_1500m
62,260,3:30.88,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,Doha (QAT),08 MAY 2009,1232,2009,men_1500m
63,260,3:30.88,Neil GOURLEY,07 FEB 1995,GBR,10,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1232,2023,men_1500m
64,265,3:30.89,Ronald KWEMOI,19 SEP 1995,KEN,1,Nairobi (KEN),24 JUN 2017,1232,2017,men_1500m
65,266,3:30.90,Vénuste NIYONGABO,09 DEC 1973,BDI,2f1,Zürich (SUI),14 AUG 1996,1232,1996,men_1500m
66,266,3:30.90,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Olympiastadion, Berlin (GER)",01 SEP 2000,1232,2000,men_1500m
67,266,3:30.90,Rui SILVA,03 AUG 1977,POR,5,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1232,2004,men_1500m
68,266,3:30.90,Haron KEITANY,17 DEC 1983,KEN,2,Doha (QAT),08 MAY 2009,1232,2009,men_1500m
69,266,3:30.90,Andrew WHEATING,21 NOV 1987,USA,4,"Stade Louis II, Monaco (MON)",22 JUL 2010,1232,2010,men_1500m
70,271,3:30.91,Noureddine MORCELI,28 FEB 1970,ALG,2,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999,1232,1999,men_1500m
71,271,3:30.91,Ali SAIDI-SIEF,15 MAR 1978,ALG,5f1,Zürich (SUI),11 AUG 1999,1232,1999,men_1500m
72,273,3:30.92,José Luis GONZÁLEZ,08 DEC 1957,ESP,3,Nice (FRA),16 JUL 1985,1232,1985,men_1500m
73,273,3:30.92,Tarek BOUKENSA,19 NOV 1981,ALG,1,"Stadio Olimpico, Roma (ITA)",13 JUL 2007,1232,2007,men_1500m
74,275,3:30.93,Noureddine MORCELI,28 FEB 1970,ALG,1,Roma (ITA),05 JUN 1996,1232,1996,men_1500m
75,276,3:30.94,Laban ROTICH,20 JAN 1969,KEN,2,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1231,1998,men_1500m
76,276,3:30.94,Isaac VICIOSA,26 DEC 1969,ESP,5,"Stade Louis II, Monaco (MON)",08 AUG 1998,1231,1998,men_1500m
77,276,3:30.94,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,1,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1231,2011,men_1500m
78,279,3:30.95,Steve CRAM,14 OCT 1960,GBR,1,Bruxelles (BEL),19 AUG 1988,1231,1988,men_1500m
79,279,3:30.95,Vénuste NIYONGABO,09 DEC 1973,BDI,1,Nice (FRA),18 JUL 1994,1231,1994,men_1500m
80,279,3:30.95,Noureddine MORCELI,28 FEB 1970,ALG,3,"Stade Louis II, Monaco (MON)",04 AUG 1999,1231,1999,men_1500m
81,282,3:30.96,Noureddine MORCELI,28 FEB 1970,ALG,1,Lausanne (SUI),03 JUL 1996,1231,1996,men_1500m
82,282,3:30.96,Mehdi BAALA,17 AUG 1978,FRA,1,"Stade Louis II, Monaco (MON)",28 JUL 2009,1231,2009,men_1500m
83,284,3:30.97,Mehdi BAALA,17 AUG 1978,FRA,1,Paris (FRA),04 JUL 2003,1231,2003,men_1500m
84,284,3:30.97,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Letzigrund, Zürich (SUI)",29 AUG 2013,1231,2013,men_1500m
85,286,3:30.98,Leonel MANZANO,12 SEP 1984,USA,8,"Stade Louis II, Monaco (MON)",18 JUL 2014,1231,2014,men_1500m
86,287,3:30.99,Robert RONO,16 AUG 1978,KEN,3,Bruxelles (BEL),30 AUG 2002,1231,2002,men_1500m
87,287,3:30.99,Isaac Kiprono SONGOK,25 APR 1984,KEN,3,Zürich (SUI),06 AUG 2004,1231,2004,men_1500m
88,289,3:31.00,Noureddine MORCELI,28 FEB 1970,ALG,1,Helsinki (FIN),27 JUN 1991,1231,1991,men_1500m
89,289,3:31.00,Noureddine MORCELI,28 FEB 1970,ALG,1f1,"Letzigrund, Zürich (SUI)",07 AUG 1991,1231,1991,men_1500m
90,289,3:31.00,Noureddine MORCELI,28 FEB 1970,ALG,1,Rieti (ITA),03 SEP 1997,1231,1997,men_1500m
91,289,3:31.00,Bethwell BIRGEN,06 AUG 1988,KEN,5,"Stade Louis II, Monaco (MON)",20 JUL 2012,1231,2012,men_1500m
92,293,3:31.01,Jim SPIVEY,07 MAR 1960,USA,1,Koblenz (GER),28 AUG 1988,1230,1988,men_1500m
93,293,3:31.01,Noureddine MORCELI,28 FEB 1970,ALG,1,Stockholm (SWE),03 JUL 1991,1230,1991,men_1500m
94,293,3:31.01,Vénuste NIYONGABO,09 DEC 1973,BDI,2,Rieti (ITA),01 SEP 1996,1230,1996,men_1500m
95,293,3:31.01,Noah NGENY,02 NOV 1978,KEN,2,Stuttgart (GER),19 JUL 1998,1230,1998,men_1500m
96,293,3:31.01,Mehdi BAALA,17 AUG 1978,FRA,2,Paris (FRA),06 JUL 2007,1230,2007,men_1500m
97,293,3:31.01,Abel KIPSANG,22 NOV 1996,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1230,2022,men_1500m
98,299,3:31.02,William CHIRCHIR,06 FEB 1979,KEN,1,"Stade Louis II, Monaco (MON)",18 AUG 2000,1230,2000,men_1500m
99,299,3:31.02,Cornelius CHIRCHIR,05 JUN 1983,KEN,4,Bruxelles (BEL),30 AUG 2002,1230,2002,men_1500m
0,301,3:31.04,Daham Najim BASHIR,08 NOV 1979,QAT,2,Doha (QAT),13 MAY 2005,1230,2005,men_1500m
1,301,3:31.04,Bernard LAGAT,12 DEC 1974,USA,2,Zürich (SUI),19 AUG 2005,1230,2005,men_1500m
2,303,3:31.05,Mehdi BAALA,17 AUG 1978,FRA,1,Strasbourg (FRA),28 JUN 2007,1230,2007,men_1500m
3,303,3:31.05,Timothy CHERUIYOT,20 NOV 1995,KEN,2,Nairobi (KEN),24 JUN 2017,1230,2017,men_1500m
4,305,3:31.06,Laban ROTICH,20 JAN 1969,KEN,3,Rieti (ITA),01 SEP 1996,1230,1996,men_1500m
5,305,3:31.06,Ryan GREGSON,26 APR 1990,AUS,5,"Stade Louis II, Monaco (MON)",22 JUL 2010,1230,2010,men_1500m
6,305,3:31.06,Filip INGEBRIGTSEN,20 APR 1993,NOR,3,"Stade Charléty, Paris (FRA)",24 AUG 2019,1230,2019,men_1500m
7,308,3:31.08,John Kemboi KIBOWEN,21 APR 1969,KEN,3,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1229,1998,men_1500m
8,308,3:31.08,Bernard LAGAT,12 DEC 1974,KEN,3,"Stade Louis II, Monaco (MON)",20 JUL 2001,1229,2001,men_1500m
9,308,3:31.08,Ivan HESHKO,19 AUG 1979,UKR,1,Paris (FRA),08 JUL 2006,1229,2006,men_1500m
10,308,3:31.08,Jake HEYWARD,26 APR 1999,GBR,5,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1229,2022,men_1500m
11,312,3:31.09,Bernard LAGAT,12 DEC 1974,USA,3,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1229,2005,men_1500m
12,312,3:31.09,Matthew CENTROWITZ,18 OCT 1989,USA,9,"Stade Louis II, Monaco (MON)",18 JUL 2014,1229,2014,men_1500m
13,314,3:31.10,Daniel KOMEN,17 MAY 1976,KEN,4,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1229,1998,men_1500m
14,314,3:31.10,Bernard LAGAT,12 DEC 1974,KEN,2,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1229,2001,men_1500m
15,314,3:31.10,Paul KORIR,15 JUL 1977,KEN,1,Herakleion (GRE),04 JUL 2004,1229,2004,men_1500m
16,314,3:31.10,Alex KIPCHIRCHIR,26 NOV 1984,KEN,3,Doha (QAT),13 MAY 2005,1229,2005,men_1500m
17,314,3:31.10,Adil KAOUCH,01 JAN 1979,MAR,3,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1229,2006,men_1500m
18,319,3:31.12,Noah NGENY,02 NOV 1978,KEN,1,Villeneuve d'Ascq (FRA),13 JUN 1999,1229,1999,men_1500m
19,320,3:31.13,José Manuel ABASCAL,17 MAR 1958,ESP,1,Barcelona (ESP),16 AUG 1986,1229,1986,men_1500m
20,320,3:31.13,Mulugeta WENDIMU,07 JAN 1985,ETH,2,Heusden-Zolder (BEL),31 JUL 2004,1229,2004,men_1500m
21,320,3:31.13,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1229,2005,men_1500m
22,320,3:31.13,Asbel KIPROP,30 JUN 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1229,2013,men_1500m
23,324,3:31.14,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,"Olympiastadion, Berlin (GER)",11 SEP 2011,1229,2011,men_1500m
24,325,3:31.15,John Kemboi KIBOWEN,21 APR 1969,KEN,4,Bruxelles (BEL),22 AUG 1997,1228,1997,men_1500m
25,326,3:31.16,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Köln (GER),18 AUG 1995,1228,1995,men_1500m
26,326,3:31.16,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,Nice (FRA),09 JUL 2001,1228,2001,men_1500m
27,326,3:31.16,Elijah Motonei MANANGOI,05 JAN 1993,KEN,2,"Letzigrund, Zürich (SUI)",30 AUG 2018,1228,2018,men_1500m
28,329,3:31.17,Vénuste NIYONGABO,09 DEC 1973,BDI,2f1,Köln (GER),18 AUG 1995,1228,1995,men_1500m
29,329,3:31.17,Robert Kiplagat ANDERSEN,12 DEC 1972,DEN,5f1,Zürich (SUI),13 AUG 1997,1228,1997,men_1500m
30,329,3:31.17,Cornelius CHIRCHIR,05 JUN 1983,KEN,1,Ostrava (CZE),12 JUN 2003,1228,2003,men_1500m
31,329,3:31.17,Bethwell BIRGEN,06 AUG 1988,KEN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1228,2012,men_1500m
32,333,3:31.18,Vénuste NIYONGABO,09 DEC 1973,BDI,1,"Olympiastadion, Berlin (GER)",30 AUG 1994,1228,1994,men_1500m
33,333,3:31.18,Noah NGENY,02 NOV 1978,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1228,1999,men_1500m
34,333,3:31.18,Shadrack KORIR,14 DEC 1978,KEN,2,"Stadio Olimpico, Roma (ITA)",13 JUL 2007,1228,2007,men_1500m
35,333,3:31.18,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,4,"Stade Louis II, Monaco (MON)",20 JUL 2018,1228,2018,men_1500m
36,337,3:31.19,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"FBK Stadium, Hengelo (NED)",01 JUN 1998,1228,1998,men_1500m
37,337,3:31.19,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1228,2014,men_1500m
38,337,3:31.19,Elijah Motonei MANANGOI,05 JAN 1993,KEN,2,"Stade Louis II, Monaco (MON)",15 JUL 2016,1228,2016,men_1500m
39,337,3:31.19,Ayanleh SOULEIMAN,03 DEC 1992,DJI,5,"Stade Louis II, Monaco (MON)",20 JUL 2018,1228,2018,men_1500m
40,341,3:31.20,Abdi BILE,28 DEC 1962,SOM,1,"Stadio Adriatico, Pescara (ITA)",19 JUL 1989,1228,1989,men_1500m
41,341,3:31.20,William TANUI,22 FEB 1964,KEN,3f1,Zürich (SUI),14 AUG 1996,1228,1996,men_1500m
42,341,3:31.20,William CHIRCHIR,06 FEB 1979,KEN,3,St-Denis (FRA),06 JUL 2001,1228,2001,men_1500m
43,341,3:31.20,Bernard LAGAT,12 DEC 1974,KEN,1,"CM, Madrid (ESP)",20 SEP 2002,1228,2002,men_1500m
44,341,3:31.20,Asbel KIPROP,30 JUN 1989,KEN,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1228,2009,men_1500m
45,346,3:31.21,José Antonio REDOLAT,17 FEB 1976,ESP,1,Stockholm (SWE),17 JUL 2001,1228,2001,men_1500m
46,346,3:31.21,Anter ZERGUELAINE,04 JAN 1985,ALG,2,"Stade Louis II, Monaco (MON)",28 JUL 2009,1228,2009,men_1500m
47,346,3:31.21,Abel KIPSANG,22 NOV 1996,KEN,7,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1228,2022,men_1500m
48,349,3:31.22,Rui SILVA,03 AUG 1977,POR,3,Zürich (SUI),16 AUG 2002,1227,2002,men_1500m
49,349,3:31.22,Bethwell BIRGEN,06 AUG 1988,KEN,7,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1227,2014,men_1500m
50,349,3:31.22,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1227,2018,men_1500m
51,352,3:31.24,Sydney MAREE,09 SEP 1956,USA,1,Köln (GER),28 AUG 1983,1227,1983,men_1500m
52,352,3:31.24,John Kemboi KIBOWEN,21 APR 1969,KEN,3,Stockholm (SWE),07 JUL 1997,1227,1997,men_1500m
53,352,3:31.24,Ayanleh SOULEIMAN,03 DEC 1992,DJI,3,"Letzigrund, Zürich (SUI)",30 AUG 2018,1227,2018,men_1500m
54,355,3:31.25,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Melbourne (AUS),09 SEP 2001,1227,2001,men_1500m
55,355,3:31.25,Mehdi BAALA,17 AUG 1978,FRA,3,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1227,2004,men_1500m
56,357,3:31.28,Enock KOECH,04 APR 1981,KEN,3f1,"Letzigrund, Zürich (SUI)",17 AUG 2001,1227,2001,men_1500m
57,358,3:31.29,Daniel KOMEN,17 MAY 1976,KEN,1,Bratislava (SVK),10 JUN 1997,1226,1997,men_1500m
58,359,3:31.30,William TANUI,22 FEB 1964,KEN,6f1,Zürich (SUI),13 AUG 1997,1226,1997,men_1500m
59,359,3:31.30,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,5,"Stade Louis II, Monaco (MON)",19 JUL 2013,1226,2013,men_1500m
60,361,3:31.32,Noah NGENY,02 NOV 1978,KEN,1,Athina (GRE),16 JUN 1999,1226,1999,men_1500m
61,361,3:31.32,Paul KORIR,15 JUL 1977,KEN,4,Zürich (SUI),06 AUG 2004,1226,2004,men_1500m
62,361,3:31.32,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1226,2012,men_1500m
63,364,3:31.33,Robert RONO,16 AUG 1978,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1226,2003,men_1500m
64,364,3:31.33,Ronald MUSAGALA,16 DEC 1992,UGA,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1226,2019,men_1500m
65,364,3:31.33,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,4,"Stade Charléty, Paris (FRA)",24 AUG 2019,1226,2019,men_1500m
66,367,3:31.34,Steve CRAM,14 OCT 1960,GBR,1,Oslo (NOR),27 JUN 1985,1226,1985,men_1500m
67,367,3:31.34,Reyes ESTÉVEZ,02 AUG 1976,ESP,6,"Stade Louis II, Monaco (MON)",08 AUG 1998,1226,1998,men_1500m
68,367,3:31.34,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Milano (ITA),09 JUN 1999,1226,1999,men_1500m
69,367,3:31.34,Fermín CACHO,16 FEB 1969,ESP,4,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1226,1999,men_1500m
70,367,3:31.34,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1226,2016,men_1500m
71,367,3:31.34,Samuel TANNER,24 AUG 2000,NZL,6,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1226,2022,men_1500m
72,373,3:31.35,Taoufik MAKHLOUFI,29 APR 1988,ALG,3,"Stade Louis II, Monaco (MON)",15 JUL 2016,1226,2016,men_1500m
73,374,3:31.36,Steve OVETT,09 OCT 1955,GBR,1,Koblenz (GER),27 AUG 1980,1225,1980,men_1500m
74,374,3:31.36,Alex KIPCHIRCHIR,26 NOV 1984,KEN,2,Paris (FRA),08 JUL 2006,1225,2006,men_1500m
75,374,3:31.36,Abel KIPSANG,22 NOV 1996,KEN,4,"Letzigrund, Zürich (SUI)",08 SEP 2022,1225,2022,men_1500m
