Unnamed: 0,Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
85,173,22.02,1.1,Kyra JEFFERSON,23 SEP 1994,USA,1,"Eugene, OR (USA)",10 JUN 2017,1236,2017,women_200m
86,173,22.02,0.8,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,3,"National Stadium, Kingston (JAM)",27 JUN 2021,1236,2021,women_200m
87,173,22.02,1.9,Gabrielle THOMAS,07 DEC 1996,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",16 APR 2022,1236,2022,women_200m
88,173,22.02,0.5,Abby STEINER,24 NOV 1999,USA,1sf3,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1236,2022,women_200m
89,173,22.02,0.6,Dina ASHER-SMITH,04 DEC 1995,GBR,3,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1236,2022,women_200m
90,173,22.02,0.6,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1236,2022,women_200m
91,173,22.02,0.6,Shericka JACKSON,16 JUL 1994,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1236,2022,women_200m
92,193,22.03,1.5,Bärbel WÖCKEL,21 MAR 1955,GDR,1,"Lenin Stadium, Moskva (URS)",30 JUL 1980,1234,1980,women_200m
93,193,22.03,1.1,Marita KOCH,18 FEB 1957,GDR,1,Erfurt (GER),23 JUN 1985,1234,1985,women_200m
94,193,22.03,1.9,Silke MÖLLER,20 JUN 1964,GDR,1,Karl Marx Stadt (GDR),21 JUN 1987,1234,1987,women_200m
95,193,22.03,0.8,Gwen TORRENCE,12 JUN 1965,USA,1,"New Orleans, LA (USA)",28 JUN 1992,1234,1992,women_200m
96,193,22.03,0.2,Merlene OTTEY,10 MAY 1960,JAM,1,Torino (ITA),04 SEP 1992,1234,1992,women_200m
97,193,22.03,1.4,Allyson FELIX,18 NOV 1985,USA,2,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1234,2010,women_200m
98,193,22.03,-0.5,Dafne SCHIPPERS,15 JUN 1992,NED,1,"Letzigrund, Zürich (SUI)",15 AUG 2014,1237,2014,women_200m
99,193,22.03,1.5,Shaunae MILLER-UIBO,15 APR 1994,BAH,1f1,"National Training Center, Clermont, FL (USA)",04 APR 2021,1234,2021,women_200m
0,201,22.04,0.9,Bärbel WÖCKEL,21 MAR 1955,GDR,1,"Olympic Stadium, Athina (GRE)",09 SEP 1982,1233,1982,women_200m
1,201,22.04,-0.1,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,2,"Memorial Coliseum, Los Angeles, CA (USA)",09 AUG 1984,1233,1984,women_200m
2,201,22.04,0.7,Dawn SOWELL,27 MAR 1966,USA,1,"Provo, UT (USA)",02 JUN 1989,1233,1989,women_200m
3,201,22.04,0.5,Gwen TORRENCE,12 JUN 1965,USA,2,Stockholm (SWE),12 JUL 1994,1233,1994,women_200m
4,201,22.04,0.6,Gwen TORRENCE,12 JUN 1965,USA,1,"New York, NY (USA)",21 MAY 1995,1233,1995,women_200m
5,201,22.04,0.5,Blessing OKAGBARE,09 OCT 1988,NGR,1f1,"Abilene, TX (USA)",24 MAR 2018,1233,2018,women_200m
6,201,22.04,0.4,Dina ASHER-SMITH,04 DEC 1995,GBR,3,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1233,2021,women_200m
7,201,22.04,0.3,Christine MBOMA,22 MAY 2003,NAM,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1233,2021,women_200m
8,201,22.04,0.2,Favour OFILI,31 DEC 2002,NGR,1,"Ole Miss T&F Complex, Oxford, MS (USA)",14 MAY 2022,1233,2022,women_200m
9,201,22.04,2.0,Aminatou SEYNI,24 OCT 1996,NIG,2sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1233,2022,women_200m
10,211,22.05,0.1,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),11 AUG 1979,1232,1979,women_200m
11,211,22.05,1.8,Merlene OTTEY,10 MAY 1960,JAM,1,Berlin (GER),23 JUN 1991,1232,1991,women_200m
12,211,22.05,1.7,Irina PRIVALOVA,22 NOV 1968,RUS,1h1,Moskva (RUS),19 JUL 1992,1232,1992,women_200m
13,211,22.05,0.8,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1232,2004,women_200m
14,211,22.05,0.8,Shaunae MILLER,15 APR 1994,BAH,1,Kingston (JAM),11 JUN 2016,1232,2016,women_200m
15,211,22.05,0.8,Dafne SCHIPPERS,15 JUN 1992,NED,1,"Olympic Stadium, London (GBR)",11 AUG 2017,1232,2017,women_200m
16,211,22.05,1.1,Shericka JACKSON,16 JUL 1994,JAM,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,1232,2018,women_200m
17,211,22.05,1.9,Blessing OKAGBARE,09 OCT 1988,NGR,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1232,2019,women_200m
18,211,22.05,0.5,Abby STEINER,24 NOV 1999,USA,1f1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",22 APR 2022,1232,2022,women_200m
19,211,22.05,1.3,Favour OFILI,31 DEC 2002,NGR,2,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1232,2022,women_200m
20,211,22.05,1.0,Tamara CLARK,09 JAN 1999,USA,1sf2,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1232,2022,women_200m
21,211,22.05,0.0,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,2,"National Stadium, Kingston (JAM)",26 JUN 2022,1232,2022,women_200m
22,211,22.05,2.0,Mujinga KAMBUNDJI,17 JUN 1992,SUI,3sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1232,2022,women_200m
23,211,22.05,-0.4,Gabrielle THOMAS,07 DEC 1996,USA,1,"Stade Charléty, Paris (FRA)",09 JUN 2023,1234,2023,women_200m
24,225,22.06,1.2,Marita KOCH,18 FEB 1957,GDR,1,Erfurt (GER),28 MAY 1978,1231,1978,women_200m
25,225,22.06,0.3,Evelyn ASHFORD,15 APR 1957,USA,1,Bruxelles (BEL),05 SEP 1986,1231,1986,women_200m
26,225,22.06,-1.8,Pam MARSHALL,16 AUG 1960,USA,1f1,"Letzigrund, Zürich (SUI)",19 AUG 1987,1241,1987,women_200m
27,225,22.06,1.2,Merlene OTTEY,10 MAY 1960,JAM,3,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1231,1987,women_200m
28,225,22.06,0.7,Evette DE KLERK,21 AUG 1965,RSA,1,Pietersburg (RSA),08 APR 1989,1231,1989,women_200m
29,225,22.06,0.2,Irina PRIVALOVA,22 NOV 1968,RUS,2,Torino (ITA),04 SEP 1992,1231,1992,women_200m
30,225,22.06,0.4,Merlene OTTEY,10 MAY 1960,JAM,2,"Stade Louis II, Monaco (MON)",16 AUG 1997,1231,1997,women_200m
31,225,22.06,-0.4,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1233,2018,women_200m
32,225,22.06,0.2,Dina ASHER-SMITH,04 DEC 1995,GBR,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1231,2021,women_200m
33,234,22.07,,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),03 JUN 1978,1230,1978,women_200m
34,234,22.07,-1.0,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Ostrava (TCH),03 JUN 1981,1236,1981,women_200m
35,234,22.07,0.0,Bärbel WÖCKEL,21 MAR 1955,GDR,1,Jena (GDR),09 AUG 1981,1230,1981,women_200m
36,234,22.07,1.2,Silke MÖLLER,20 JUN 1964,GDR,2,Jena (GDR),29 JUN 1986,1230,1986,women_200m
37,234,22.07,1.7,Merlene OTTEY,10 MAY 1960,JAM,2sf1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1230,1988,women_200m
38,234,22.07,0.8,Gwen TORRENCE,12 JUN 1965,USA,2,Bruxelles (BEL),13 SEP 1991,1230,1991,women_200m
39,234,22.07,0.0,Irina PRIVALOVA,22 NOV 1968,RUS,1,"Stade Louis II, Monaco (MON)",11 AUG 1992,1230,1992,women_200m
40,234,22.07,0.6,Irina PRIVALOVA,22 NOV 1968,RUS,2,Bruxelles (BEL),28 AUG 1992,1230,1992,women_200m
41,234,22.07,0.4,Merlene OTTEY,10 MAY 1960,JAM,1,"Olympiastadion, Berlin (GER)",30 AUG 1994,1230,1994,women_200m
42,234,22.07,1.6,Merlene OTTEY,10 MAY 1960,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 1995,1230,1995,women_200m
43,234,22.07,-0.3,Merlene OTTEY,10 MAY 1960,JAM,2,Köln (GER),18 AUG 1995,1231,1995,women_200m
44,234,22.07,0.4,Marie-José PÉREC,09 MAY 1968,FRA,1sf1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1230,1996,women_200m
45,234,22.07,-0.1,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,1,Zürich (SUI),14 AUG 1996,1230,1996,women_200m
46,234,22.07,0.6,Marion JONES,12 OCT 1975,USA,1,Stockholm (SWE),30 JUL 1999,1230,1999,women_200m
47,234,22.07,0.2,Dina ASHER-SMITH,04 DEC 1995,GBR,5,"National Stadium, Beijing (CHN)",28 AUG 2015,1230,2015,women_200m
48,234,22.07,1.3,Shericka JACKSON,16 JUL 1994,JAM,2,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022,1230,2022,women_200m
49,234,22.07,0.2,Abby STEINER,24 NOV 1999,USA,2,"Ole Miss T&F Complex, Oxford, MS (USA)",14 MAY 2022,1230,2022,women_200m
50,234,22.07,1.7,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1230,2023,women_200m
51,252,22.08,2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),13 SEP 1988,1229,1988,women_200m
52,252,22.08,-0.1,Irina PRIVALOVA,22 NOV 1968,EUN,3sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1229,1992,women_200m
53,252,22.08,0.0,Merlene OTTEY,10 MAY 1960,JAM,2,"Stade Louis II, Monaco (MON)",11 AUG 1992,1229,1992,women_200m
54,252,22.08,0.9,Irina PRIVALOVA,22 NOV 1968,RUS,2,Bruxelles (BEL),03 SEP 1993,1229,1993,women_200m
55,252,22.08,0.1,Merlene OTTEY,10 MAY 1960,JAM,1sf2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1229,1996,women_200m
56,252,22.08,-0.3,Candyce MCGRONE,24 MAR 1989,USA,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1230,2015,women_200m
57,252,22.08,0.8,Marie-Josée TA LOU,18 NOV 1988,CIV,2,"Olympic Stadium, London (GBR)",11 AUG 2017,1229,2017,women_200m
58,252,22.08,-0.4,Dina ASHER-SMITH,04 DEC 1995,GBR,2,"Letzigrund, Zürich (SUI)",29 AUG 2019,1231,2019,women_200m
59,252,22.08,0.7,Favour OFILI,31 DEC 2002,NGR,1h3,"Billy Hayes T& F Complex, Bloomington, IN (USA)",28 MAY 2022,1229,2022,women_200m
60,252,22.08,2.0,Jenna PRANDINI,20 NOV 1992,USA,4sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1229,2022,women_200m
61,262,22.09,-0.1,Merlene OTTEY,10 MAY 1960,JAM,3,"Memorial Coliseum, Los Angeles, CA (USA)",09 AUG 1984,1228,1984,women_200m
62,262,22.09,1.3,Silke MÖLLER,20 JUN 1964,GDR,5,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1228,1988,women_200m
63,262,22.09,-2.4,Katrin KRABBE,22 NOV 1969,GER,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,1242,1991,women_200m
64,262,22.09,-0.6,Merlene OTTEY,10 MAY 1960,JAM,3,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1231,1992,women_200m
65,262,22.09,-0.7,Gwen TORRENCE,12 JUN 1965,USA,1,St. Petersburg (RUS),25 JUL 1994,1232,1994,women_200m
66,262,22.09,0.0,Merlene OTTEY,10 MAY 1960,JAM,1,Bellinzona (SUI),12 JUN 1996,1228,1996,women_200m
67,262,22.09,0.5,Inger MILLER,12 JUN 1972,USA,2,"Sacramento, CA (USA)",23 JUL 2000,1228,2000,women_200m
68,262,22.09,-0.3,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1229,2012,women_200m
69,262,22.09,-0.2,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,"Olympic Stadium, London (GBR)",08 AUG 2012,1229,2012,women_200m
70,262,22.09,1.9,Allyson FELIX,18 NOV 1985,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1228,2015,women_200m
71,262,22.09,-0.3,Dafne SCHIPPERS,15 JUN 1992,NED,2,"Stade Louis II, Monaco (MON)",17 JUL 2015,1229,2015,women_200m
72,262,22.09,-0.3,Tori BOWIE,27 AUG 1990,USA,1f1,"Gainesville, FL (USA)",28 APR 2017,1229,2017,women_200m
73,262,22.09,1.5,Deajah STEVENS,19 MAY 1995,USA,1,"Eugene, OR (USA)",14 MAY 2017,1228,2017,women_200m
74,262,22.09,0.5,Elaine THOMPSON,28 JUN 1992,JAM,1,"National Stadium, Kingston (JAM)",20 MAY 2017,1228,2017,women_200m
75,262,22.09,0.1,Marie-Josée TA LOU,18 NOV 1988,CIV,3,"Letzigrund, Zürich (SUI)",24 AUG 2017,1228,2017,women_200m
76,262,22.09,0.9,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,Gold Coast (AUS),12 APR 2018,1228,2018,women_200m
77,262,22.09,0.1,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"Stade Louis II, Monaco (MON)",12 JUL 2019,1228,2019,women_200m
78,262,22.09,2.0,Julien ALFRED,10 JUN 2001,LCA,1h2,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1228,2023,women_200m
79,262,22.09,1.4,Latasha SMITH,13 JAN 2001,USA,1,"USF Track Complex, Tampa, FL (USA)",14 MAY 2023,1228,2023,women_200m
80,281,22.1,0.0,Evelyn ASHFORD,15 APR 1957,USA,1,Nice (FRA),14 AUG 1982,1227,1982,women_200m
81,281,22.1,-0.1,Kathy COOK,03 MAY 1960,GBR,4,"Memorial Coliseum, Los Angeles, CA (USA)",09 AUG 1984,1227,1984,women_200m
82,281,22.1,0.0,Bärbel WÖCKEL,21 MAR 1955,GDR,2,Zürich (SUI),22 AUG 1984,1227,1984,women_200m
83,281,22.1,0.3,Heike DRECHSLER,16 DEC 1964,GDR,2,Bruxelles (BEL),05 SEP 1986,1227,1986,women_200m
84,281,22.1,0.7,Evette DE KLERK,21 AUG 1965,RSA,1,Pretoria (RSA),29 APR 1989,1227,1989,women_200m
85,281,22.1,-0.6,Gwen TORRENCE,12 JUN 1965,USA,2f1,Zürich (SUI),19 AUG 1992,1230,1992,women_200m
86,281,22.1,0.2,Gwen TORRENCE,12 JUN 1965,USA,3,Torino (ITA),04 SEP 1992,1227,1992,women_200m
87,281,22.1,0.2,Gwen TORRENCE,12 JUN 1965,USA,1,Fukuoka (JPN),18 SEP 1993,1227,1993,women_200m
88,281,22.1,0.8,Inger MILLER,12 JUN 1972,USA,1f2,Athina (GRE),16 JUN 1999,1227,1999,women_200m
89,281,22.1,2.0,Marion JONES,12 OCT 1975,USA,1,"Eugene, OR (USA)",27 JUN 1999,1227,1999,women_200m
90,281,22.1,0.6,Marion JONES,12 OCT 1975,USA,1,Zürich (SUI),11 AUG 1999,1227,1999,women_200m
91,281,22.1,0.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,Kingston (JAM),01 JUL 2012,1227,2012,women_200m
92,281,22.1,-0.3,Elaine THOMPSON,28 JUN 1992,JAM,1,"Olympic Stadium, London (GBR)",25 JUL 2015,1228,2015,women_200m
93,281,22.1,-0.5,Dafne SCHIPPERS,15 JUN 1992,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1230,2017,women_200m
94,281,22.1,-0.4,Shericka JACKSON,16 JUL 1994,JAM,1,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1229,2021,women_200m
95,296,22.11,,Merlene OTTEY,10 MAY 1960,JAM,1,"Lawrence, KS (USA)",23 APR 1983,1226,1983,women_200m
96,296,22.11,1.3,Valerie BRISCO-HOOKS,06 JUL 1960,USA,4,"Indianapolis, IN (USA)",23 JUL 1988,1226,1988,women_200m
97,296,22.11,1.0,Merlene OTTEY,10 MAY 1960,JAM,1,Nice (FRA),15 JUL 1992,1226,1992,women_200m
98,296,22.11,-0.5,Allyson FELIX,18 NOV 1985,USA,1,Ciudad de México (MEX),03 MAY 2003,1229,2003,women_200m
99,296,22.11,0.6,Allyson FELIX,18 NOV 1985,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1226,2006,women_200m
0,296,22.11,1.1,Sherone SIMPSON,12 AUG 1984,JAM,3,Kingston (JAM),29 JUN 2008,1226,2008,women_200m
1,296,22.11,1.0,Carmelita JETER,24 NOV 1979,USA,2,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1226,2012,women_200m
2,296,22.11,0.1,Myriam SOUMARÉ,29 OCT 1986,FRA,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1226,2014,women_200m
3,296,22.11,1.9,Dafne SCHIPPERS,15 JUN 1992,NED,2,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1226,2016,women_200m
4,296,22.11,0.1,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,Kingston (JAM),09 JUN 2018,1226,2018,women_200m
5,296,22.11,1.0,Sha'Carri RICHARDSON,25 MAR 2000,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2021,1226,2021,women_200m
6,296,22.11,1.3,Allyson FELIX,18 NOV 1985,USA,5,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1226,2021,women_200m
7,296,22.11,0.7,Christine MBOMA,22 MAY 2003,NAM,1h4,"National Stadium, Tokyo (JPN)",02 AUG 2021,1226,2021,women_200m
8,296,22.11,0.1,Marie-Josée TA LOU,18 NOV 1988,CIV,1sf3,"National Stadium, Tokyo (JPN)",02 AUG 2021,1226,2021,women_200m
9,296,22.11,0.9,Cambrea STURGIS,27 MAR 1999,USA,2sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1226,2022,women_200m
10,311,22.12,-1.3,Silke MÖLLER,20 JUN 1964,GDR,2,Leipzig (GER),11 AUG 1985,1232,1985,women_200m
11,311,22.12,1.2,Pam MARSHALL,16 AUG 1960,USA,1,Moskva (URS),08 JUL 1986,1225,1986,women_200m
12,311,22.12,0.9,Merlene OTTEY,10 MAY 1960,JAM,1,Granada (ESP),26 MAY 1990,1225,1990,women_200m
13,311,22.12,-1.4,Katrin KRABBE,22 NOV 1969,GER,1,Hannover (GER),28 JUL 1991,1233,1991,women_200m
14,311,22.12,-1.6,Merlene OTTEY,10 MAY 1960,JAM,1sf1,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1234,1992,women_200m
15,311,22.12,-0.6,Merlene OTTEY,10 MAY 1960,JAM,3f1,Zürich (SUI),19 AUG 1992,1228,1992,women_200m
16,311,22.12,0.2,Merlene OTTEY,10 MAY 1960,JAM,1sf2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,1225,1993,women_200m
17,311,22.12,-2.2,Merlene OTTEY,10 MAY 1960,JAM,1,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1238,1995,women_200m
18,311,22.12,-2.2,Irina PRIVALOVA,22 NOV 1968,RUS,2,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1238,1995,women_200m
19,311,22.12,-0.7,Merlene OTTEY,10 MAY 1960,JAM,2f1,Zürich (SUI),16 AUG 1995,1229,1995,women_200m
20,311,22.12,0.3,Marie-José PÉREC,09 MAY 1968,FRA,1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1225,1996,women_200m
21,311,22.12,-0.1,Dina ASHER-SMITH,04 DEC 1995,GBR,1sf3,"National Stadium, Beijing (CHN)",27 AUG 2015,1225,2015,women_200m
22,311,22.12,0.0,Dafne SCHIPPERS,15 JUN 1992,NED,1,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1225,2015,women_200m
23,311,22.12,0.1,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1225,2018,women_200m
24,311,22.12,0.2,Cambrea STURGIS,27 MAR 1999,USA,1,"Hayward Field, Eugene, OR (USA)",12 JUN 2021,1225,2021,women_200m
25,311,22.12,0.0,Christine MBOMA,22 MAY 2003,NAM,1f1,"University of Alabama at Birmingham, Birmingham, AL (USA)",02 APR 2022,1225,2022,women_200m
26,311,22.12,0.6,Aminatou SEYNI,24 OCT 1996,NIG,4,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1225,2022,women_200m
27,328,22.13,0.9,Kathy COOK,03 MAY 1960,GBR,2,"Olympic Stadium, Athina (GRE)",09 SEP 1982,1224,1982,women_200m
28,328,22.13,0.3,Marita KOCH,18 FEB 1957,GDR,1,Bratislava (TCH),04 JUN 1983,1224,1983,women_200m
29,328,22.13,1.5,Marita KOCH,18 FEB 1957,GDR,1,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1224,1983,women_200m
30,328,22.13,-2.0,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),20 MAY 1984,1236,1984,women_200m
31,328,22.13,1.3,Heike DRECHSLER,16 DEC 1964,GDR,1,Tallinn (EST),22 JUN 1986,1224,1986,women_200m
32,328,22.13,1.2,Ewa KASPRZYK,07 SEP 1957,POL,2,Moskva (URS),08 JUL 1986,1224,1986,women_200m
33,328,22.13,1.8,Grace JACKSON,14 JUN 1961,JAM,1sf2,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1224,1988,women_200m
34,328,22.13,1.1,Katrin KRABBE,22 NOV 1969,GDR,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1224,1990,women_200m
35,328,22.13,0.4,Irina PRIVALOVA,22 NOV 1968,RUS,1,Köln (GER),16 AUG 1992,1224,1992,women_200m
36,328,22.13,0.0,Irina PRIVALOVA,22 NOV 1968,RUS,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,1224,1993,women_200m
37,328,22.13,0.0,Merlene OTTEY,10 MAY 1960,JAM,3,"Stade Louis II, Monaco (MON)",25 JUL 1995,1224,1995,women_200m
38,328,22.13,1.1,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1sf2,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1224,2004,women_200m
39,328,22.13,0.3,Allyson FELIX,18 NOV 1985,USA,1,"Carson, CA (USA)",26 JUN 2005,1224,2005,women_200m
40,328,22.13,1.0,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,Kingston (JAM),23 JUN 2013,1224,2013,women_200m
41,328,22.13,-0.1,Elaine THOMPSON,28 JUN 1992,JAM,1sf1,"National Stadium, Beijing (CHN)",27 AUG 2015,1224,2015,women_200m
42,328,22.13,-0.8,Dafne SCHIPPERS,15 JUN 1992,NED,1,"Olympic Stadium, London (GBR)",23 JUL 2016,1228,2016,women_200m
43,328,22.13,0.1,Elaine THOMPSON,28 JUN 1992,JAM,2sf1,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1224,2016,women_200m
44,328,22.13,0.8,Tori BOWIE,27 AUG 1990,USA,1sf3,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1224,2016,women_200m
45,328,22.13,0.1,Dafne SCHIPPERS,15 JUN 1992,NED,1,Paris (FRA),27 AUG 2016,1224,2016,women_200m
46,328,22.13,1.1,Elaine THOMPSON,28 JUN 1992,JAM,1,"Olympic Stadium, London (GBR)",20 JUL 2019,1224,2019,women_200m
47,328,22.13,0.5,Tamara CLARK,09 JAN 1999,USA,1h3,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 MAY 2021,1224,2021,women_200m
48,328,22.13,0.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1sf1,"National Stadium, Tokyo (JPN)",02 AUG 2021,1224,2021,women_200m
49,328,22.13,-0.2,Favour OFILI,31 DEC 2002,NGR,1sf2,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1225,2022,women_200m
50,351,22.14,1.5,Valerie BRISCO-HOOKS,06 JUL 1960,USA,1,Bruxelles (BEL),24 AUG 1984,1223,1984,women_200m
51,351,22.14,0.9,Irina PRIVALOVA,22 NOV 1968,RUS,1,Moskva (RUS),24 JUN 1992,1223,1992,women_200m
52,351,22.14,-0.6,Carlette GUIDRY,04 SEP 1968,USA,1,"Atlanta, GA (USA)",23 JUN 1996,1226,1996,women_200m
53,351,22.14,1.2,Allyson FELIX,18 NOV 1985,USA,1,"Carson, CA (USA)",22 MAY 2005,1223,2005,women_200m
54,351,22.14,1.8,Sherone SIMPSON,12 AUG 1984,JAM,1,"National Stadium, Kingston (JAM)",06 MAY 2006,1223,2006,women_200m
55,351,22.14,0.0,Allyson FELIX,18 NOV 1985,USA,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1223,2010,women_200m
56,351,22.14,-0.2,Carmelita JETER,24 NOV 1979,USA,3,"Olympic Stadium, London (GBR)",08 AUG 2012,1224,2012,women_200m
57,351,22.14,0.2,Shaunae MILLER,15 APR 1994,BAH,1f1,"National Stadium, Kingston (JAM)",09 MAY 2015,1223,2015,women_200m
58,351,22.14,0.2,Dafne SCHIPPERS,15 JUN 1992,NED,2,"Olympiastadion, Berlin (GER)",11 AUG 2018,1223,2018,women_200m
59,351,22.14,1.9,Jenna PRANDINI,20 NOV 1992,USA,1h3,"Hayward Field, Eugene, OR (USA)",24 JUN 2021,1223,2021,women_200m
60,351,22.14,0.1,Shaunae MILLER-UIBO,15 APR 1994,BAH,2sf3,"National Stadium, Tokyo (JPN)",02 AUG 2021,1223,2021,women_200m
61,351,22.14,0.1,Abby STEINER,24 NOV 1999,USA,1h2,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1223,2022,women_200m
62,351,22.14,0.0,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,3,"National Stadium, Kingston (JAM)",26 JUN 2022,1223,2022,women_200m
63,364,22.15,0.4,Bärbel WÖCKEL,21 MAR 1955,GDR,1,Praha (TCH),17 AUG 1984,1222,1984,women_200m
64,364,22.15,1.4,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Santa Monica, CA (USA)",12 JUN 1988,1222,1988,women_200m
65,364,22.15,1.7,Silke MÖLLER,20 JUN 1964,GDR,3sf1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1222,1988,women_200m
66,364,22.15,-2.4,Merlene OTTEY,10 MAY 1960,JAM,1,Sestriere (ITA),31 JUL 1991,1236,1991,women_200m
67,364,22.15,0.2,Juliet CUTHBERT,09 APR 1964,JAM,1,San José (USA),30 MAY 1992,1222,1992,women_200m
68,364,22.15,-1.0,Irina PRIVALOVA,22 NOV 1968,RUS,1f1,Zürich (SUI),17 AUG 1994,1228,1994,women_200m
